타석,타율,안타,홈런,루타,득점,볼넷,타점,도루,장타율,출루율,선수명
524.0,0.329,149.0,8.0,203.0,75.0,54.0,50.0,31.0,0.448,0.408,박민우
564.0,0.303,152.0,46.0,315.0,90.0,39.0,119.0,0.0,0.629,0.369,데이비슨
511.0,0.3,125.0,13.0,188.0,66.0,77.0,77.0,4.0,0.452,0.417,권희동
353.0,0.287,95.0,7.0,132.0,45.0,16.0,50.0,6.0,0.399,0.316,손아섭
234.0,0.286,61.0,5.0,87.0,31.0,13.0,33.0,8.0,0.408,0.338,천재환
565.0,0.284,145.0,10.0,200.0,68.0,30.0,61.0,1.0,0.392,0.342,서호철
151.0,0.283,36.0,0.0,41.0,32.0,17.0,13.0,7.0,0.323,0.38,최정원
171.0,0.264,39.0,1.0,51.0,21.0,14.0,10.0,4.0,0.345,0.337,박세혁
558.0,0.26,126.0,16.0,200.0,78.0,51.0,73.0,4.0,0.412,0.338,김휘집
475.0,0.252,97.0,9.0,146.0,61.0,51.0,49.0,16.0,0.379,0.371,김주원
76.0,0.247,18.0,0.0,24.0,10.0,2.0,3.0,2.0,0.329,0.276,한석현
155.0,0.232,32.0,2.0,45.0,17.0,14.0,17.0,3.0,0.326,0.301,박시원
180.0,0.215,31.0,0.0,35.0,20.0,24.0,15.0,1.0,0.243,0.347,도태훈
409.0,0.206,73.0,17.0,136.0,55.0,31.0,60.0,10.0,0.383,0.293,김성욱
411.0,0.194,68.0,17.0,131.0,39.0,45.0,50.0,0.0,0.373,0.285,김형준
71.0,0.185,12.0,7.0,34.0,8.0,6.0,14.0,0.0,0.523,0.254,박한결
602.0,0.34,179.0,19.0,273.0,88.0,64.0,104.0,21.0,0.518,0.409,송성문
429.0,0.33,126.0,11.0,194.0,69.0,39.0,57.0,2.0,0.508,0.399,도슨
567.0,0.326,166.0,11.0,233.0,90.0,47.0,75.0,30.0,0.458,0.383,김혜성
227.0,0.306,56.0,1.0,68.0,27.0,31.0,12.0,2.0,0.372,0.429,이용규
537.0,0.266,126.0,13.0,190.0,82.0,49.0,60.0,6.0,0.402,0.352,이주형
544.0,0.257,124.0,13.0,188.0,49.0,47.0,84.0,0.0,0.39,0.325,최주환
283.0,0.257,67.0,9.0,109.0,27.0,18.0,38.0,0.0,0.418,0.3,김건희
290.0,0.256,65.0,0.0,81.0,21.0,28.0,35.0,0.0,0.319,0.329,고영우
148.0,0.256,33.0,0.0,40.0,23.0,13.0,6.0,3.0,0.31,0.333,박수종
232.0,0.251,55.0,5.0,75.0,16.0,11.0,21.0,0.0,0.342,0.289,변상권
125.0,0.25,28.0,2.0,39.0,12.0,10.0,11.0,2.0,0.348,0.306,원성준
326.0,0.243,70.0,0.0,81.0,27.0,14.0,26.0,1.0,0.281,0.297,김재현
92.0,0.241,21.0,3.0,33.0,14.0,4.0,10.0,1.0,0.379,0.272,임병욱
202.0,0.222,42.0,0.0,54.0,26.0,7.0,10.0,0.0,0.286,0.249,김태진
109.0,0.22,20.0,0.0,24.0,5.0,14.0,8.0,0.0,0.264,0.33,이원석
126.0,0.216,22.0,4.0,37.0,19.0,22.0,19.0,1.0,0.363,0.36,이형종
62.0,0.2,11.0,1.0,15.0,7.0,6.0,5.0,0.0,0.273,0.279,주성원
89.0,0.19,16.0,1.0,20.0,7.0,2.0,5.0,0.0,0.238,0.227,이재상
71.0,0.169,10.0,1.0,16.0,6.0,6.0,3.0,0.0,0.271,0.3,김병휘
139.0,0.168,20.0,4.0,35.0,14.0,17.0,13.0,0.0,0.294,0.288,장재영
59.0,0.102,5.0,0.0,7.0,5.0,10.0,1.0,2.0,0.143,0.254,박주홍
57.0,0.102,5.0,1.0,8.0,4.0,7.0,5.0,0.0,0.163,0.211,임지열
