타석,타율,안타,홈런,루타,득점,볼넷,타점,도루,장타율,출루율,선수명,사진
23.0,0.2,4.0,0.0,6.0,1.0,2.0,0.0,0.0,0.3,0.273,장승현,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/63202.jpg
26.0,0.174,4.0,1.0,7.0,3.0,2.0,2.0,0.0,0.304,0.231,김인태,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/63257.jpg
89.0,0.133,10.0,1.0,14.0,10.0,8.0,7.0,1.0,0.187,0.23,김대한,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/69238.jpg
12.0,0.125,1.0,0.0,1.0,2.0,4.0,1.0,0.0,0.125,0.417,양찬열,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/50293.jpg
27.0,0.087,2.0,0.0,2.0,7.0,0.0,1.0,0.0,0.087,0.192,김태근,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/69207.jpg
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,권휘,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/50203.jpg
3.0,0.667,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.667,박경수,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/73113.jpg
16.0,0.357,5.0,0.0,5.0,9.0,2.0,1.0,0.0,0.357,0.438,김병준,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/52002.jpg
393.0,0.353,124.0,1.0,147.0,47.0,35.0,34.0,4.0,0.419,0.41,김민혁,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/64004.jpg
670.0,0.329,188.0,32.0,325.0,108.0,88.0,112.0,2.0,0.568,0.421,로하스,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/67025.jpg
36.0,0.308,8.0,1.0,12.0,4.0,8.0,8.0,0.0,0.462,0.471,강현우,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/50066.jpg
45.0,0.306,11.0,0.0,13.0,2.0,3.0,3.0,0.0,0.361,0.35,조대현,https://lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2024/68089.jpg
